Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DPG,University of Technology Sydney,Sydney,Juris Doctor,Law,,,AUD,year,3,Years,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/juris-doctor,English,,"The UTS Juris Doctor is an internationally recognised graduate-entry qualification for non-law graduates. As an Australian Qualifications Framework Level 9 master's qualification, this course meets the academic requirements for admission as a lawyer in NSW for graduates who have successfully completed a first degree.",,Australia,no,yes,no,yes,,
DPG,University of Technology Sydney,Sydney,Juris Doctor Graduate Certificate in Professional Legal Practice,Engineering,,,AUD,year,3,Years,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/juris-doctor-graduate-certificate-professional-legal-practice,English,,"This course is the only integrated law and Practical Legal Training (PLT) degree in Sydney, and meets both the academic and practical requirements for admission to practise law in NSW. Like the standard Juris Doctor, this course is an Australian Qualifications Framework Level 9 master's degree that builds knowledge and experience in fundamental legal theory.",,Australia,no,yes,no,yes,,
DPG,University of Technology Sydney,Sydney,Juris Doctor Graduate Certificate in Trade Mark Law and Practice,Business & Commerce & Finance & Accounting,,,AUD,year,3,Years,yes,no,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/juris-doctor-graduate-certificate-trade-mark-law-and-practice,English,,"UTS has established expertise and a reputation for providing courses relevant to the needs of the patent and trade marks professions. This course reflects the range of topics required for registration as a trade marks attorney in Australia under the relevant regulations. The Juris Doctor (JD) is a graduate law degree that builds on the established reputation of UTS: Law to provide high-calibre, graduate-level education in the theory and practice of the law. It is specifically designed for graduates of disciplines other than law.",,Australia,no,yes,no,yes,,
PG,University of Technology Sydney,Sydney,Master of Laws,Law,,,AUD,year,1,Year,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/master-laws,English,,"This course gives students the opportunity to build specialist legal skills in their area of professional practice, as well as theoretical and practical research capabilities as they relate to the study of the law.",,Australia,no,yes,no,yes,,
PG,University of Technology Sydney,Online,Master of Intellectual Property,Business & Commerce & Finance & Accounting,,,AUD,year,1,Year,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/master-intellectual-property,English,,"UTS has established expertise in and a reputation for providing courses relevant to the needs of the patent and trade mark professions. The UTS Master of Intellectual Property is the first course at an Australian university that fulfils the entire educational requirements for registration as a registered Trans-Tasman patent attorney in Australia and New Zealand under the Trans-Tasman IP Attorneys Board, as well as registration as an Australian trade marks attorney.",,Australia,no,no,yes,no,,
PG,University of Technology Sydney,Sydney,Master of Legal Studies,Law,,,AUD,year,2,Years,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/master-legal-studies,English,,This course gives non-law graduates an understanding of the legal and regulatory frameworks of the fields in which they work.,,Australia,no,yes,no,yes,,
PG,University of Technology Sydney,Sydney,Master of Professional Engineering,Engineering,,,AUD,year,2,Years,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/master-professional-engineering,English,,"This course provides an opportunity at master's level for technical specialists and professional engineers who have completed either a three-year Bachelor of Technology or a four-year Bachelor of Engineering to graduate with an Engineers Australia-accredited, professional engineering qualification. The course enables students to deepen knowledge and expertise in their field of specialisation to be ready to practise in engineering.",,Australia,no,yes,no,yes,,
PG,University of Technology Sydney,Sydney,Advanced Master of Business Administration,Business & Commerce & Finance & Accounting,,,AUD,year,1,Year,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/advanced-master-business-administration,English,,"The UTS Advanced MBA is a one-year program, co-developed, co-designed and co-delivered with industry partners from a range of sectors and organisations. It focuses on the development of the future of work skills: problem solving, critical thinking, digital literacy, communication, critical analysis, collaboration, and leadership.",,Australia,no,no,no,no,,
PG,University of Technology Sydney,Sydney,Master of Business Administration,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/master-business-administration,English,,"The UTS MBA is designed for early-career professionals seeking to either extend their knowledge and capabilities into managerial roles or to change careers into a new field of business. The flexible 16-subject program features a core of six subjects that introduce students to key managerial and business concepts, with the ten remaining subjects allowing a choice of major, sub-majors and or electives. All MBA subjects are approved by an industry board that insists on 'relevance to workplace' as a pre-eminent subject design principle. The MBA provides knowledge and skills that are essential for superior management performance.",,Australia,no,no,no,no,,
PG,University of Technology Sydney,Sydney,Master of Engineering,Engineering,,,AUD,year,1,Year,yes,yes,,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/master-engineering,English,,This course provides an opportunity at master's level for professional engineers to deepen the knowledge and skills gained in their undergraduate studies while expanding their managerial and professional engineering knowledge.,,Australia,no,yes,no,yes,,
