Website,Availability,Prerequisite_1,Description,Duration_Time,Remarks,Faculty,Prerequisite_2,Currency,Full_Time,City,Course,Online,Prerequisite_2_grade,Prerequisite_1_grade,Blended,Local_Fees,Face_to_Face,Part_Time,Currency_Time,Int_Fees,University,Level_Code,Duration,Career_Outcomes,Country,Prerequisite_3_grade,Offline,Prerequisite_3,Course_Lang,Distance
https://www.uts.edu.au/future-students/find-a-course/bachelor-laws-honours,,year 12,"This course provides students with a coherent and advanced knowledge of the underlying principles and concepts in the discipline of law and equips them with advanced research skills. UTS Law graduates are increasingly in demand in the legal profession and in other employment sectors where legal knowledge and skills are valued. Today's law graduates are employed in a wide range of roles and responsibilities, including to advise and counsel parties, act as negotiators, manage project teams and resolve disputes. Students must successfully complete both of the research subjects: 76090 Research Methodology and 76040 Research Thesis. Strong research skills are valued highly in contemporary professional practice.",Years,,Law,IELTS,AUD,yes,Sydney,Bachelor of Laws (Honours),,6.5,6.5,,,yes,yes,year,,University of Technology Sydney,HONS,4,,Australia,,yes,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-computing-science-honours,,year 12,This course offers a sound education in all aspects of computing science and information technology. It is intended for students who aspire to become researchers or who want a career in a more scientific-oriented computing area. As such it provides a pathway to postgraduate research study.,Years,,Computer Science & Information Technology,IELTS,AUD,yes,Sydney,Bachelor of Computing Science (Honours),,6.5,80.15,,,yes,yes,year,,University of Technology Sydney,HONS,4,,Australia,,yes,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours,,year 12,"This course is identical to the Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice (C09067), with the exception that there is no Diploma in Professional Engineering Practice requirement.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours),,6.5,80.15,,,yes,no,year,,University of Technology Sydney,HONS,4,,Australia,,yes,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-landscape-architecture-honours,,year 12,"The Bachelor of Landscape Architecture (Honours) is a four-year honours degree designed to develop skills in design, construction and management associated with natural and built landscapes.",Years,,Computer Science & Information Technology,IELTS,AUD,yes,Sydney,Bachelor of Landscape Architecture (Honours),,6.5,75.05,,,yes,no,year,,University of Technology Sydney,HONS,4,,Australia,,yes,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-diploma-professional-engineering-practice,,year 12,This program is a comprehensive preparation for careers in the professional practice of engineering. Students learn to deal with complex systems and manage large-scale projects using the most appropriate emerging technologies.,Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice,,6.5,82.55,,,yes,yes,year,,University of Technology Sydney,HONS,5,,Australia,,yes,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-accounting,,year 12,The Bachelor of Accounting is a cooperative education program in accounting. It is an intensive course offered in conjunction with major employers. Students complete a compulsory first major in accounting and receive a scholarship and full-time work training.,Years,,Business & Commerce & Finance & Accounting,IELTS,AUD,yes,Sydney,Bachelor of Accounting,,6.5,88.65,,,no,yes,year,,University of Technology Sydney,BA,3,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-business-0,,year 12,"The Bachelor of Business offers students a sound background in all areas of business through common core subjects, in addition to in-depth knowledge in one or more chosen areas of interest.",Years,,Business & Commerce & Finance & Accounting,IELTS,AUD,no,Sydney,Bachelor of Business,,6.5,88.65,,,no,no,year,,University of Technology Sydney,BA,8,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-laws,,year 12,"The Bachelor of Laws is one of Sydney's leading law degrees. It has been developed to help students build foundational knowledge in the practice of law, as well as the 'soft' skills (problem solving, analytical thinking, spoken and written communication) required to succeed in a legal career.",Years,,Law,IELTS,AUD,yes,Sydney,Bachelor of Laws,,6.5,96.05,,,yes,yes,year,,University of Technology Sydney,BA,4,,Australia,,yes,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-arts-educational-studies,,year 12,"Students who originally enrolled in the Bachelor of Education in Primary Education (C10206), Bachelor of Arts Bachelor of Education (C10350) or Master of Teaching in Secondary Education (C04255) have the opportunity of transferring to this three-year degree (subject to the approval of the program director). This degree does not provide qualifications to teach.",Years,,Creative Arts & Design & Music,IELTS,AUD,yes,Sydney,Bachelor of Arts in Educational Studies,,6.5,96.05,,,no,no,year,,University of Technology Sydney,BA,3,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-science-games-development,,year 12,This course offers a sound education in all aspects of information technology and develops the diverse skills necessary for a career in computer games development. ,Years,,Humanities and Social Science,IELTS,AUD,yes,Sydney,Bachelor of Science in Games Development,,6.5,83.80,,,no,yes,year,,University of Technology Sydney,BA,3,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-business,,year 12,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year, followed by in-depth knowledge in one or more chosen areas of interest through the completion of a mix of majors, extended majors, sub-majors and electives.",Years,,Business & Commerce & Finance & Accounting,IELTS,AUD,yes,Sydney,Bachelor of Business,,6.5,87.05,,,yes,yes,year,,University of Technology Sydney,BA,3,,Australia,,yes,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-information-technology,,year 12,"This is a cooperative education scholarship program in computer information systems, developed by UTS in cooperation with a group of leading organisations. It differs from other cooperative education courses in that, during the industry-based sessions, students follow a structured program designed jointly by UTS and the employer group, including formal coursework delivered by industry.",Years,,Computer Science & Information Technology,IELTS,AUD,yes,Sydney,Bachelor of Information Technology,,6.5,86.15,,,no,no,year,,University of Technology Sydney,BA,3,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-science-information-technology,,year 12,"This course offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study or a research career.",Years,,Computer Science & Information Technology,IELTS,AUD,yes,Sydney,Bachelor of Science in Information Technology,,6.5,86.15,,,yes,no,year,,University of Technology Sydney,BA,3,,Australia,,yes,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,,year 12,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,,6.5,79.75,,,no,yes,year,,University of Technology Sydney,HONS,6,,Australia,,no,,English,
https://www.uts.edu.au/future-students/find-a-course/bachelor-science-information-technology-diploma-information-technology-professional-practice,,year 12,"This course offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study and a research career.",Years,,Engineering,IELTS,AUD,yes,Sydney,Bachelor of Science in Information Technology Diploma in Information Technology Professional Practice,,6.5,80.40,,,yes,yes,year,,University of Technology Sydney,BA,4,,Australia,,yes,,English,
