Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
HONS,University of Technology Sydney,Sydney,Bachelor of Laws (Honours),Law,,,AUD,year,4,Years,yes,yes,year 12,IELTS,,,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-laws-honours,English,,"This course provides students with a coherent and advanced knowledge of the underlying principles and concepts in the discipline of law and equips them with advanced research skills. UTS Law graduates are increasingly in demand in the legal profession and in other employment sectors where legal knowledge and skills are valued. Today's law graduates are employed in a wide range of roles and responsibilities, including to advise and counsel parties, act as negotiators, manage project teams and resolve disputes. Students must successfully complete both of the research subjects: 76090 Research Methodology and 76040 Research Thesis. Strong research skills are valued highly in contemporary professional practice.",,Australia,,yes,,yes,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
HONS,University of Technology Sydney,Sydney,Bachelor of Computing Science (Honours),Computer Science & Information Technology,,,AUD,year,4,Years,yes,yes,year 12,IELTS,,80.15,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-computing-science-honours,English,,This course offers a sound education in all aspects of computing science and information technology. It is intended for students who aspire to become researchers or who want a career in a more scientific-oriented computing area. As such it provides a pathway to postgraduate research study.,,Australia,,yes,,yes,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours),Engineering,,,AUD,year,4,Years,yes,no,year 12,IELTS,,80.15,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours,English,,"This course is identical to the Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice (C09067), with the exception that there is no Diploma in Professional Engineering Practice requirement.",,Australia,,yes,,yes,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
HONS,University of Technology Sydney,Sydney,Bachelor of Landscape Architecture (Honours),Computer Science & Information Technology,,,AUD,year,4,Years,yes,no,year 12,IELTS,,75.05,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-landscape-architecture-honours,English,,"The Bachelor of Landscape Architecture (Honours) is a four-year honours degree designed to develop skills in design, construction and management associated with natural and built landscapes.",,Australia,,yes,,yes,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Diploma in Professional Engineering Practice,Engineering,,,AUD,year,5,Years,yes,yes,year 12,IELTS,,82.55,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-diploma-professional-engineering-practice,English,,This program is a comprehensive preparation for careers in the professional practice of engineering. Students learn to deal with complex systems and manage large-scale projects using the most appropriate emerging technologies.,,Australia,,yes,,yes,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
BA,University of Technology Sydney,Sydney,Bachelor of Accounting,Business & Commerce & Finance & Accounting,,,AUD,year,3,Years,yes,yes,year 12,IELTS,,88.65,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-accounting,English,,The Bachelor of Accounting is a cooperative education program in accounting. It is an intensive course offered in conjunction with major employers. Students complete a compulsory first major in accounting and receive a scholarship and full-time work training.,,Australia,,no,,no,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
BA,University of Technology Sydney,Sydney,Bachelor of Business,Business & Commerce & Finance & Accounting,,,AUD,year,8,Years,no,no,year 12,IELTS,,88.65,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-business-0,English,,"The Bachelor of Business offers students a sound background in all areas of business through common core subjects, in addition to in-depth knowledge in one or more chosen areas of interest.",,Australia,,no,,no,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
BA,University of Technology Sydney,Sydney,Bachelor of Laws,Law,,,AUD,year,4,Years,yes,yes,year 12,IELTS,,96.05,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-laws,English,,"The Bachelor of Laws is one of Sydney's leading law degrees. It has been developed to help students build foundational knowledge in the practice of law, as well as the 'soft' skills (problem solving, analytical thinking, spoken and written communication) required to succeed in a legal career.",,Australia,,yes,,yes,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
BA,University of Technology Sydney,Sydney,Bachelor of Arts in Educational Studies,Creative Arts & Design & Music,,,AUD,year,3,Years,yes,no,year 12,IELTS,,96.05,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-arts-educational-studies,English,,"Students who originally enrolled in the Bachelor of Education in Primary Education (C10206), Bachelor of Arts Bachelor of Education (C10350) or Master of Teaching in Secondary Education (C04255) have the opportunity of transferring to this three-year degree (subject to the approval of the program director). This degree does not provide qualifications to teach.",,Australia,,no,,no,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
BA,University of Technology Sydney,Sydney,Bachelor of Science in Games Development,Humanities and Social Science,,,AUD,year,3,Years,yes,yes,year 12,IELTS,,83.8,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-science-games-development,English,,This course offers a sound education in all aspects of information technology and develops the diverse skills necessary for a career in computer games development. ,,Australia,,no,,no,,
HONS,University of Technology Sydney,Sydney,Bachelor of Engineering (Honours) Bachelor of Science Diploma in Professional Engineering Practice,Engineering,,,AUD,year,6,Years,yes,yes,year 12,IELTS,,79.75,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-science-diploma-professional-engineering-practice,English,,"This combined degree is the same as the Bachelor of Engineering (Honours) Bachelor of Science (C09072), except for the additional requirement of two internships and completion of the professional engineering practice program. Students can transfer to this program if they wish to complete the Diploma in Professional Engineering Practice.",,Australia,,no,,no,,
BA,University of Technology Sydney,Sydney,Bachelor of Business,Business & Commerce & Finance & Accounting,,,AUD,year,3,Years,yes,yes,year 12,IELTS,,87.05,6.5,,https://www.uts.edu.au/future-students/find-a-course/bachelor-business,English,,"The Bachelor of Business offers students a sound background in all areas of business through eight common core subjects undertaken in first year, followed by in-depth knowledge in one or more chosen areas of interest through the completion of a mix of majors, extended majors, sub-majors and electives.",,Australia,,yes,,yes,,
